GaiaDR3;Cluster;Pmemb;Note;RA_ICRS;DE_ICRS;pmRA;e_pmRA;pmDE;e_pmDE;Plx;e_Plx;Gmag;BPmag;RPmag;Gmagcor;(G-RP)cor;_RA.icrs;_DE.icrs
2033502397149628416;CWNU_319; 0.96;  N;298.0707;+31.0910;-1.789; 0.157; -3.041; 0.187; 0.254; 0.183;18.965;20.467;17.874;18.998; 1.100;298.0707;+31.0910
2033410145598441984;CWNU_319; 0.70;  N;298.1023;+30.6350;-1.869; 0.036; -3.131; 0.039; 0.244; 0.039;16.291;16.769;15.634;16.036; 0.591;298.1023;+30.6350
2033409973757494016;CWNU_319; 0.97;  N;298.1250;+30.6463;-1.797; 0.128; -3.012; 0.163; 0.286; 0.144;18.508;19.359;17.612;18.253; 0.831;298.1250;+30.6463
2033481201543052672;CWNU_319; 0.98;  N;298.1284;+30.7435;-1.768; 0.043; -3.000; 0.046; 0.238; 0.048;16.692;17.284;15.925;16.792; 0.792;298.1284;+30.7435
2033410317397479680;CWNU_319; 0.95;  N;298.1293;+30.6658;-1.795; 0.039; -3.117; 0.042; 0.237; 0.043;16.380;16.951;15.563;16.202; 0.771;298.1293;+30.6658
2033410381777635712;CWNU_319; 0.51;  N;298.1299;+30.6796;-1.630; 0.067; -3.048; 0.072; 0.208; 0.072;17.481;18.209;16.648;17.303; 0.787;298.1299;+30.6796
2033487592454502016;CWNU_319; 0.98;  N;298.1345;+30.9163;-1.811; 0.040; -3.039; 0.048; 0.266; 0.046;16.730;17.231;16.017;16.653; 0.693;298.1345;+30.9163
2033480995384609152;CWNU_319; 0.99;  N;298.1390;+30.7399;-1.785; 0.016; -3.028; 0.018; 0.255; 0.017;14.379;15.438;13.362;14.478; 1.042;298.1390;+30.7399
2033410008159468032;CWNU_319; 0.95;  N;298.1431;+30.6419;-1.815; 0.028; -2.987; 0.032; 0.232; 0.033;15.888;16.333;15.257;15.633; 0.566;298.1431;+30.6419
2033408354552029696;CWNU_319; 0.99;  N;298.1445;+30.5570;-1.770; 0.059; -3.067; 0.064; 0.260; 0.065;17.143;17.660;16.319;17.141; 0.824;298.1445;+30.5570
2033484465718261504;CWNU_319; 0.83;  N;298.1525;+30.8739;-1.772; 0.057; -3.037; 0.064; 0.320; 0.061;17.290;17.872;16.476;17.262; 0.807;298.1525;+30.8739
2033484461375026432;CWNU_319; 0.84;  N;298.1530;+30.8720;-1.824; 0.052; -3.059; 0.056; 0.313; 0.056;17.087;17.629;16.274;17.059; 0.806;298.1530;+30.8720
2033480961024845952;CWNU_319; 0.98;  N;298.1541;+30.7320;-1.706; 0.043; -3.061; 0.053; 0.240; 0.049;15.942;16.223;14.949;16.041; 1.018;298.1541;+30.7320
2033482610292348032;CWNU_319; 0.99;  N;298.1561;+30.8184;-1.731; 0.037; -3.027; 0.044; 0.266; 0.042;16.472;16.966;15.775;16.317; 0.657;298.1561;+30.8184
2033484190840333440;CWNU_319; 0.57;  N;298.1628;+30.8587;-1.872; 0.040; -3.128; 0.040; 0.222; 0.039;15.752;16.036;15.007;15.725; 0.738;298.1628;+30.8587
2033408874288073088;CWNU_319; 0.98;  N;298.1687;+30.5918;-1.751; 0.018; -3.116; 0.020; 0.260; 0.020;14.786;15.230;14.155;14.608; 0.585;298.1687;+30.5918
2033481854378091264;CWNU_319; 0.99;  N;298.1694;+30.8210;-1.739; 0.033; -3.006; 0.036; 0.252; 0.036;16.346;16.805;15.707;16.191; 0.599;298.1694;+30.8210
2033409179190689280;CWNU_319; 0.86;  N;298.1707;+30.6192;-1.822; 0.041; -2.997; 0.050; 0.313; 0.046;16.622;17.270;15.822;16.444; 0.754;298.1707;+30.6192
2033484087761095680;CWNU_319; 0.99;  N;298.1727;+30.8396;-1.779; 0.015; -3.032; 0.016; 0.246; 0.016;14.396;15.289;13.457;14.240; 0.899;298.1727;+30.8396
